"","gid_1","borders"
"1","AFG.1_1","AFG.24_1"
"2","AFG.1_1","AFG.27_1"
"3","AFG.1_1","AFG.31_1"
"4","AFG.1_1","CHN.28_1"
"5","AFG.1_1","PAK.5_1"
"6","AFG.1_1","PAK.6_1"
"7","AFG.1_1","TJK.2_1"
"8","AFG.1_1","TJK.3_1"
"9","AFG.2_1","AFG.8_1"
"10","AFG.2_1","AFG.10_1"
"11","AFG.2_1","AFG.12_1"
"12","AFG.2_1","TKM.5_1"
"13","AFG.3_1","AFG.5_1"
"14","AFG.3_1","AFG.19_1"
"15","AFG.3_1","AFG.27_1"
"16","AFG.3_1","AFG.28_1"
"17","AFG.3_1","AFG.29_1"
"18","AFG.3_1","AFG.31_1"
"19","AFG.4_1","AFG.13_1"
"20","AFG.4_1","AFG.19_1"
"21","AFG.4_1","AFG.29_1"
"22","AFG.4_1","AFG.30_1"
"23","AFG.4_1","TJK.3_1"
"24","AFG.4_1","TKM.4_1"
"25","AFG.4_1","UZB.12_1"
"26","AFG.5_1","AFG.3_1"
"27","AFG.5_1","AFG.6_1"
"28","AFG.5_1","AFG.9_1"
"29","AFG.5_1","AFG.10_1"
"30","AFG.5_1","AFG.28_1"
"31","AFG.5_1","AFG.29_1"
"32","AFG.5_1","AFG.30_1"
"33","AFG.5_1","AFG.33_1"
"34","AFG.6_1","AFG.5_1"
"35","AFG.6_1","AFG.9_1"
"36","AFG.6_1","AFG.10_1"
"37","AFG.6_1","AFG.11_1"
"38","AFG.6_1","AFG.32_1"
"39","AFG.7_1","AFG.10_1"
"40","AFG.7_1","AFG.11_1"
"41","AFG.7_1","AFG.12_1"
"42","AFG.7_1","AFG.23_1"
"43","AFG.7_1","IRN.26_1"
"44","AFG.7_1","IRN.27_1"
"45","AFG.8_1","AFG.2_1"
"46","AFG.8_1","AFG.10_1"
"47","AFG.8_1","AFG.13_1"
"48","AFG.8_1","AFG.30_1"
"49","AFG.8_1","TKM.4_1"
"50","AFG.8_1","TKM.5_1"
"51","AFG.9_1","AFG.5_1"
"52","AFG.9_1","AFG.6_1"
"53","AFG.9_1","AFG.21_1"
